"assignment","user","typeid","type","stepid","step","updatedon"
856,User_309,3,Submission,2,Comparison,2022-05-31 16:10:27
1077,User_127,3,Submission,1,Analysis,2022-06-03 19:53:08
855,User_206,1,Current,2,Comparison,2022-05-31 16:10:53
855,User_206,3,Submission,2,Comparison,2022-05-31 16:10:57
1008,User_100,3,Submission,1,Analysis,2022-06-03 01:17:46
1008,User_100,1,Current,2,Comparison,2022-06-03 01:17:46
1077,User_127,1,Current,2,Comparison,2022-06-03 19:53:08
1135,User_328,3,Submission,1,Analysis,2022-06-05 13:10:53
1135,User_328,1,Current,2,Comparison,2022-06-05 13:10:53
1469,User_120,1,Current,2,Comparison,2022-06-08 23:11:15
1471,User_120,3,Submission,2,Comparison,2022-06-08 23:19:10
1473,User_243,3,Submission,1,Analysis,2022-06-08 23:24:47
857,User_206,1,Current,1,Analysis,2022-05-31 16:12:14
857,User_206,3,Submission,1,Analysis,2022-05-31 16:12:18
857,User_206,1,Current,2,Comparison,2022-05-31 16:14:25
857,User_206,3,Submission,2,Comparison,2022-05-31 16:14:28
858,User_206,1,Current,1,Analysis,2022-05-31 16:15:32
859,User_309,1,Current,1,Analysis,2022-05-31 16:16:11
859,User_309,3,Submission,1,Analysis,2022-05-31 16:16:13
859,User_309,1,Current,2,Comparison,2022-05-31 16:18:32
861,User_309,1,Current,1,Analysis,2022-05-31 16:21:09
861,User_309,3,Submission,1,Analysis,2022-05-31 16:21:11
1008,User_100,3,Submission,2,Comparison,2022-06-03 01:18:47
1077,User_127,3,Submission,2,Comparison,2022-06-03 19:54:20
1135,User_328,3,Submission,2,Comparison,2022-06-05 13:13:20
1469,User_120,3,Submission,2,Comparison,2022-06-08 23:11:17
858,User_206,1,Current,2,Comparison,2022-05-31 16:18:22
858,User_206,3,Submission,2,Comparison,2022-05-31 16:18:26
859,User_309,3,Submission,2,Comparison,2022-05-31 16:18:35
860,User_206,1,Current,1,Analysis,2022-05-31 16:19:43
860,User_206,3,Submission,1,Analysis,2022-05-31 16:19:46
861,User_309,1,Current,2,Comparison,2022-05-31 16:21:46
861,User_309,3,Submission,2,Comparison,2022-05-31 16:21:49
862,User_309,1,Current,1,Analysis,2022-05-31 16:22:31
862,User_309,3,Submission,1,Analysis,2022-05-31 16:22:34
862,User_309,1,Current,2,Comparison,2022-05-31 16:23:15
862,User_309,3,Submission,2,Comparison,2022-05-31 16:23:17
860,User_206,1,Current,2,Comparison,2022-05-31 16:23:46
860,User_206,3,Submission,2,Comparison,2022-05-31 16:23:54
863,User_206,1,Current,1,Analysis,2022-05-31 16:25:01
863,User_206,3,Submission,1,Analysis,2022-05-31 16:25:04
868,User_105,1,Current,2,Comparison,2022-05-31 17:01:35
863,User_206,1,Current,2,Comparison,2022-05-31 16:28:40
863,User_206,3,Submission,2,Comparison,2022-05-31 16:28:44
864,User_105,1,Current,1,Analysis,2022-05-31 16:32:34
867,User_105,1,Current,2,Comparison,2022-05-31 16:55:08
1009,User_100,3,Submission,1,Analysis,2022-06-03 01:18:58
864,User_105,3,Submission,1,Analysis,2022-05-31 16:32:39
864,User_105,1,Current,2,Comparison,2022-05-31 16:32:39
864,User_105,3,Submission,2,Comparison,2022-05-31 16:38:08
865,User_105,3,Submission,1,Analysis,2022-05-31 16:44:08
865,User_105,1,Current,2,Comparison,2022-05-31 16:44:08
874,User_301,1,Current,2,Comparison,2022-05-31 18:45:17
883,User_307,3,Submission,2,Comparison,2022-05-31 20:35:04
1009,User_100,1,Current,2,Comparison,2022-06-03 01:18:58
1078,User_127,3,Submission,1,Analysis,2022-06-03 19:54:28
865,User_105,3,Submission,2,Comparison,2022-05-31 16:47:14
866,User_105,3,Submission,1,Analysis,2022-05-31 16:50:48
866,User_105,1,Current,2,Comparison,2022-05-31 16:52:43
866,User_105,3,Submission,2,Comparison,2022-05-31 16:52:48
867,User_105,3,Submission,1,Analysis,2022-05-31 16:55:08
867,User_105,3,Submission,2,Comparison,2022-05-31 16:59:08
868,User_105,3,Submission,1,Analysis,2022-05-31 17:01:35
873,User_206,1,Current,2,Comparison,2022-05-31 18:46:39
869,User_301,3,Submission,1,Analysis,2022-05-31 17:04:51
869,User_301,1,Current,2,Comparison,2022-05-31 17:04:51
868,User_105,3,Submission,2,Comparison,2022-05-31 17:07:42
869,User_301,3,Submission,2,Comparison,2022-05-31 17:13:21
870,User_301,3,Submission,1,Analysis,2022-05-31 17:57:46
870,User_301,1,Current,2,Comparison,2022-05-31 17:57:46
871,User_105,3,Submission,1,Analysis,2022-05-31 18:30:36
871,User_105,1,Current,2,Comparison,2022-05-31 18:30:36
871,User_105,3,Submission,2,Comparison,2022-05-31 18:33:28
903,User_307,3,Submission,2,Comparison,2022-05-31 21:40:41
872,User_105,3,Submission,1,Analysis,2022-05-31 18:36:12
872,User_105,1,Current,2,Comparison,2022-05-31 18:36:12
870,User_301,3,Submission,2,Comparison,2022-05-31 18:40:06
873,User_206,1,Current,1,Analysis,2022-05-31 18:40:51
873,User_206,3,Submission,1,Analysis,2022-05-31 18:40:54
872,User_105,3,Submission,2,Comparison,2022-05-31 18:41:53
875,User_105,3,Submission,1,Analysis,2022-05-31 18:45:03
875,User_105,1,Current,2,Comparison,2022-05-31 18:45:03
874,User_301,3,Submission,1,Analysis,2022-05-31 18:45:17
874,User_301,3,Submission,2,Comparison,2022-05-31 18:48:34
875,User_105,3,Submission,2,Comparison,2022-05-31 18:49:01
877,User_105,3,Submission,1,Analysis,2022-05-31 18:50:35
1078,User_127,1,Current,2,Comparison,2022-06-03 19:54:28
877,User_105,1,Current,2,Comparison,2022-05-31 18:50:35
873,User_206,3,Submission,2,Comparison,2022-05-31 18:52:29
876,User_301,3,Submission,1,Analysis,2022-05-31 18:52:36
876,User_301,1,Current,2,Comparison,2022-05-31 18:52:36
878,User_206,1,Current,1,Analysis,2022-05-31 18:54:44
878,User_206,3,Submission,1,Analysis,2022-05-31 18:54:47
876,User_301,3,Submission,2,Comparison,2022-05-31 18:57:19
879,User_301,3,Submission,1,Analysis,2022-05-31 19:01:04
879,User_301,1,Current,2,Comparison,2022-05-31 19:01:04
1009,User_100,3,Submission,2,Comparison,2022-06-03 01:19:22
1078,User_127,3,Submission,2,Comparison,2022-06-03 19:55:18
1136,User_328,3,Submission,1,Analysis,2022-06-05 13:13:31
1136,User_328,1,Current,2,Comparison,2022-06-05 13:13:31
1470,User_120,3,Submission,1,Analysis,2022-06-08 23:11:30
1470,User_120,1,Current,2,Comparison,2022-06-08 23:15:11
1473,User_243,1,Current,2,Comparison,2022-06-08 23:24:47
878,User_206,1,Current,2,Comparison,2022-05-31 19:01:43
878,User_206,3,Submission,2,Comparison,2022-05-31 19:01:47
879,User_301,3,Submission,2,Comparison,2022-05-31 19:09:17
880,User_301,3,Submission,1,Analysis,2022-05-31 19:14:21
880,User_301,1,Current,2,Comparison,2022-05-31 19:14:21
880,User_301,3,Submission,2,Comparison,2022-05-31 19:33:22
882,User_301,3,Submission,1,Analysis,2022-05-31 19:38:28
882,User_301,1,Current,2,Comparison,2022-05-31 19:38:28
843,User_307,3,Submission,2,Comparison,2022-05-31 19:48:18
882,User_301,3,Submission,2,Comparison,2022-05-31 19:48:36
884,User_301,3,Submission,1,Analysis,2022-05-31 19:54:41
884,User_301,1,Current,2,Comparison,2022-05-31 19:54:41
884,User_301,3,Submission,2,Comparison,2022-05-31 19:58:47
885,User_301,3,Submission,1,Analysis,2022-05-31 20:01:51
885,User_301,1,Current,2,Comparison,2022-05-31 20:01:51
877,User_105,3,Submission,2,Comparison,2022-05-31 20:11:02
885,User_301,3,Submission,2,Comparison,2022-05-31 20:12:19
887,User_301,3,Submission,1,Analysis,2022-05-31 20:15:41
887,User_301,1,Current,2,Comparison,2022-05-31 20:15:41
887,User_301,3,Submission,2,Comparison,2022-05-31 20:21:30
888,User_301,3,Submission,1,Analysis,2022-05-31 20:26:46
888,User_301,1,Current,2,Comparison,2022-05-31 20:26:46
883,User_307,3,Submission,1,Analysis,2022-05-31 20:29:34
883,User_307,1,Current,2,Comparison,2022-05-31 20:29:34
888,User_301,3,Submission,2,Comparison,2022-05-31 20:33:00
886,User_105,3,Submission,1,Analysis,2022-05-31 20:45:46
886,User_105,1,Current,2,Comparison,2022-05-31 20:45:46
889,User_307,3,Submission,1,Analysis,2022-05-31 20:46:08
889,User_307,1,Current,2,Comparison,2022-05-31 20:46:08
889,User_307,3,Submission,2,Comparison,2022-05-31 20:50:03
890,User_307,3,Submission,1,Analysis,2022-05-31 20:51:57
890,User_307,1,Current,2,Comparison,2022-05-31 20:51:57
891,User_209,3,Submission,1,Analysis,2022-05-31 20:52:58
891,User_209,1,Current,2,Comparison,2022-05-31 20:52:58
886,User_105,3,Submission,2,Comparison,2022-05-31 20:54:34
890,User_307,3,Submission,2,Comparison,2022-05-31 20:54:56
894,User_209,3,Submission,1,Analysis,2022-05-31 20:55:44
894,User_209,1,Current,2,Comparison,2022-05-31 20:55:44
893,User_307,3,Submission,1,Analysis,2022-05-31 20:56:08
893,User_307,1,Current,2,Comparison,2022-05-31 20:56:08
894,User_209,3,Submission,2,Comparison,2022-05-31 20:56:24
895,User_209,3,Submission,1,Analysis,2022-05-31 20:56:42
895,User_209,1,Current,2,Comparison,2022-05-31 20:56:42
892,User_105,3,Submission,1,Analysis,2022-05-31 20:57:09
892,User_105,1,Current,2,Comparison,2022-05-31 20:57:09
896,User_209,3,Submission,1,Analysis,2022-05-31 20:58:39
896,User_209,1,Current,2,Comparison,2022-05-31 20:58:39
892,User_105,3,Submission,2,Comparison,2022-05-31 21:00:18
893,User_307,3,Submission,2,Comparison,2022-05-31 21:00:36
898,User_307,3,Submission,1,Analysis,2022-05-31 21:01:43
898,User_307,1,Current,2,Comparison,2022-05-31 21:01:43
1010,User_315,3,Submission,1,Analysis,2022-06-03 04:36:43
1010,User_315,1,Current,2,Comparison,2022-06-03 04:36:43
897,User_105,3,Submission,1,Analysis,2022-05-31 21:03:12
897,User_105,1,Current,2,Comparison,2022-05-31 21:03:12
898,User_307,3,Submission,2,Comparison,2022-05-31 21:05:03
899,User_307,3,Submission,1,Analysis,2022-05-31 21:08:03
897,User_105,3,Submission,2,Comparison,2022-05-31 21:09:18
900,User_105,3,Submission,1,Analysis,2022-05-31 21:11:01
900,User_105,1,Current,2,Comparison,2022-05-31 21:11:01
900,User_105,3,Submission,2,Comparison,2022-05-31 21:12:44
899,User_307,1,Current,2,Comparison,2022-05-31 21:14:55
901,User_307,3,Submission,1,Analysis,2022-05-31 21:19:44
901,User_307,1,Current,2,Comparison,2022-05-31 21:19:44
902,User_301,3,Submission,1,Analysis,2022-05-31 21:23:54
902,User_301,1,Current,2,Comparison,2022-05-31 21:23:54
901,User_307,3,Submission,2,Comparison,2022-05-31 21:33:43
903,User_307,3,Submission,1,Analysis,2022-05-31 21:34:46
903,User_307,1,Current,2,Comparison,2022-05-31 21:34:46
1011,User_315,3,Submission,1,Analysis,2022-06-03 04:45:53
904,User_307,3,Submission,1,Analysis,2022-05-31 21:42:43
904,User_307,1,Current,2,Comparison,2022-05-31 21:42:43
902,User_301,3,Submission,2,Comparison,2022-05-31 21:43:09
905,User_301,3,Submission,1,Analysis,2022-05-31 21:43:22
905,User_301,1,Current,2,Comparison,2022-05-31 21:43:22
905,User_301,3,Submission,2,Comparison,2022-05-31 21:45:58
904,User_307,3,Submission,2,Comparison,2022-05-31 21:46:17
906,User_307,3,Submission,1,Analysis,2022-05-31 21:47:22
1011,User_315,1,Current,2,Comparison,2022-06-03 04:45:53
1046,User_135,1,Current,2,Comparison,2022-06-03 16:22:24
906,User_307,1,Current,2,Comparison,2022-05-31 21:52:30
907,User_308,1,Current,1,Analysis,2022-05-31 21:53:13
907,User_308,3,Submission,1,Analysis,2022-05-31 21:53:18
907,User_308,1,Current,2,Comparison,2022-05-31 21:55:40
907,User_308,3,Submission,2,Comparison,2022-05-31 21:55:44
911,User_219,3,Submission,1,Analysis,2022-06-01 14:04:25
908,User_215,1,Current,1,Analysis,2022-06-01 12:15:25
908,User_215,3,Submission,1,Analysis,2022-06-01 12:16:22
908,User_215,1,Current,2,Comparison,2022-06-01 12:20:13
908,User_215,3,Submission,2,Comparison,2022-06-01 12:20:43
906,User_307,3,Submission,2,Comparison,2022-06-01 13:41:23
910,User_219,1,Current,1,Analysis,2022-06-01 13:48:12
910,User_219,3,Submission,1,Analysis,2022-06-01 13:48:17
910,User_219,1,Current,2,Comparison,2022-06-01 13:52:00
910,User_219,3,Submission,2,Comparison,2022-06-01 13:52:03
925,User_315,1,Current,2,Comparison,2022-06-02 03:33:01
911,User_219,1,Current,2,Comparison,2022-06-01 14:04:25
911,User_219,3,Submission,2,Comparison,2022-06-01 14:19:19
912,User_219,3,Submission,1,Analysis,2022-06-01 14:24:11
912,User_219,1,Current,2,Comparison,2022-06-01 14:24:11
909,User_307,1,Current,1,Analysis,2022-06-01 15:29:24
913,User_308,1,Current,1,Analysis,2022-06-01 15:30:48
913,User_308,3,Submission,1,Analysis,2022-06-01 15:30:56
913,User_308,1,Current,2,Comparison,2022-06-01 15:36:01
913,User_308,3,Submission,2,Comparison,2022-06-01 15:36:10
914,User_308,1,Current,1,Analysis,2022-06-01 15:39:36
914,User_308,3,Submission,1,Analysis,2022-06-01 15:39:44
914,User_308,1,Current,2,Comparison,2022-06-01 15:44:50
914,User_308,3,Submission,2,Comparison,2022-06-01 15:44:53
915,User_308,1,Current,1,Analysis,2022-06-01 15:46:56
915,User_308,3,Submission,1,Analysis,2022-06-01 15:46:59
915,User_308,1,Current,2,Comparison,2022-06-01 15:51:10
915,User_308,3,Submission,2,Comparison,2022-06-01 15:51:14
916,User_223,1,Current,1,Analysis,2022-06-01 19:41:26
916,User_223,3,Submission,1,Analysis,2022-06-01 19:41:32
925,User_315,3,Submission,2,Comparison,2022-06-02 03:35:57
1011,User_315,3,Submission,2,Comparison,2022-06-03 04:47:47
1050,User_127,1,Current,1,Analysis,2022-06-03 17:11:54
1079,User_127,3,Submission,1,Analysis,2022-06-03 19:55:28
1079,User_127,1,Current,2,Comparison,2022-06-03 19:55:28
1471,User_120,3,Submission,1,Analysis,2022-06-08 23:15:33
917,User_124,1,Current,1,Analysis,2022-06-01 19:49:25
